# Measured scattering data of gold cubes
# q I err
2.423752800000000540e-01 1.214477988965516886e+01 2.986293697479358578e-01
2.439092999999999400e-01 1.250494149348659079e+01 2.975823027457606407e-01
2.454433299999999873e-01 1.263893640574712585e+01 2.982882138001066163e-01
2.469773399999999897e-01 1.242754976130268041e+01 2.965173519634689003e-01
2.485113600000000977e-01 1.327345232567049571e+01 3.006492175035452297e-01
2.500453799999999283e-01 1.332050254865900030e+01 2.981200263839828279e-01
2.515794100000000033e-01 1.380409886015325505e+01 3.026572505841568783e-01
2.531134199999999779e-01 1.436969408467433063e+01 3.044072454375469916e-01
2.546474400000000027e-01 1.546502068352490156e+01 3.097540275823720268e-01
2.561814700000000222e-01 1.620562948390803726e+01 3.121453228050762863e-01
2.577154899999999360e-01 1.684191598275861779e+01 3.147159249898290323e-01
2.592494999999999661e-01 1.732734510114942950e+01 3.169919934598747768e-01
2.607835200000000464e-01 1.771057167701148671e+01 3.191273254391830405e-01
2.623175500000000104e-01 1.770638191609194934e+01 3.195332344983516926e-01
2.638515699999999797e-01 1.847650428275862211e+01 3.235963725982758943e-01
2.653855800000001208e-01 1.954179833754789186e+01 3.282034833549418162e-01
2.669196200000000241e-01 1.990786599272030344e+01 3.291941206942712306e-01
2.684536299999998876e-01 2.095070948888889006e+01 3.350701944231309626e-01
2.699876500000000235e-01 2.113705816896551681e+01 3.344309916683566031e-01
2.715216599999999980e-01 2.155749463793103615e+01 3.343885083257870372e-01
2.730556800000000228e-01 2.191141047049808677e+01 3.344699488178746738e-01
2.745897299999999208e-01 2.266532402567048976e+01 3.366110957551246008e-01
2.761237400000000064e-01 2.255179627777778606e+01 3.324061724811608887e-01
2.776577599999999757e-01 2.302540270153256330e+01 3.376028741351965734e-01
2.791917800000000005e-01 2.295322497969348419e+01 3.354334916737743422e-01
2.807257899999999751e-01 2.304783946934865924e+01 3.336856125535640483e-01
2.822598100000001109e-01 2.283201336091954659e+01 3.318606361973452379e-01
2.837938199999999744e-01 2.295164821839080815e+01 3.313501341769954922e-01
2.853278699999999835e-01 2.297751389157087942e+01 3.285097753579465096e-01
2.868618900000000083e-01 2.254998037509578879e+01 3.265459761332323851e-01
2.883959000000000938e-01 2.219737093678160988e+01 3.264081732052832030e-01
2.899299199999998966e-01 2.270919045440614070e+01 3.281111919840968283e-01
2.914639399999999214e-01 2.262255298122604685e+01 3.245876302575261274e-01
2.929979500000001180e-01 2.249622858390803870e+01 3.207402969815151272e-01
2.945320000000001270e-01 2.194607127088123022e+01 3.180359213521160022e-01
2.960660199999998743e-01 2.109123506053639829e+01 3.139109168603196331e-01
2.976000300000000154e-01 2.056550789348658625e+01 3.093966280940692037e-01
2.991340500000000402e-01 1.969402968160919798e+01 3.062561289965506361e-01
3.006680600000000148e-01 1.917063667164750740e+01 3.024606771418008044e-01
